D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123.000000|995.000000
37846|2001|Ford|Ranger|TRUCK|Yellow|172544.000000|1995.002310
44901|2012|Honda|Civic|SUV|Gray|103221.000000|6995.000000
50230|2005|Chevrolet|Impala|SEDAN|Black|145234.000000|2995.000000
60321|2008|Toyota|Camry|SEDAN|White|134560.000000|3995.000000
71245|2010|Nissan|Altima|SEDAN|Silver|128345.000000|4295.000000
82314|2007|Ford|F-150|TRUCK|Blue|185000.000000|5995.000000
93452|2011|Dodge|Charger|SEDAN|Black|110000.000000|6495.000000
10543|2013|Hyundai|Elantra|SEDAN|Red|98000.000000|6995.000000
11673|2014|Jeep|Patriot|SUV|Green|87500.000000|7995.000000
12784|2015|Kia|Soul|HATCHBACK|Blue|75500.000000|8495.000000
13895|2012|Volkswagen|Jetta|SEDAN|Gray|91000.000000|6495.000000
14906|2009|Chevrolet|Silverado|TRUCK|White|162000.000000|6995.000000
15017|2016|Ford|Escape|SUV|Black|64000.000000|8995.000000
16128|2004|BMW|X3|SUV|Silver|156000.000000|4995.000000
17239|2013|Mazda|CX-5|SUV|Red|80000.000000|9495.000000
18340|2011|Toyota|Prius|HATCHBACK|Green|123000.000000|7495.000000
19451|2017|Honda|CR-V|SUV|Blue|71000.000000|10995.000000
20562|2010|Subaru|Outback|WAGON|Gray|99000.000000|6995.000000
21673|2015|Ram|1500|TRUCK|Black|88000.000000|11995.000000
43248|2023|Ford|F-150|TRUCK|red|0.000000|50000.000000
